Annual Expected Loss,Property premium,hhldconsumprt,unemploymentrt,CentralG Consumption,LocalG Consumption,dtotalvalueadded,totactualprod,Pinvestcc,Landuse ratio
2869303.367,1.92E+03,1.2689642,0.047568867,1504.0777,216.43481,6867.763,17311.204,1.0416008,0.209626
3008382.296,1.93E+03,1.2690962,0.047482735,1519.1587,218.53578,6911.5743,17463.734,1.0428834,0.208942
3143799.171,1.94E+03,1.2689242,0.047391168,1532.1236,220.42155,6955.8059,17615.879,1.0441586,0.208362
3281656.597,1.94E+03,1.2687267,0.047265537,1548.9192,222.69349,7000.2089,17770.192,1.0456197,0.207874
3424874.369,1.96E+03,1.2682399,0.047131229,1563.8221,224.77461,7044.2047,17923.454,1.0471179,0.20746484
3571226.035,1.97E+03,1.2677892,0.047042219,1579.0303,226.90538,7094.0774,18077.471,1.0488684,0.20712584
3716124.216,1.98E+03,1.2668935,0.046918292,1593.5952,228.94753,7119.0637,18159.989,1.0506157,0.206849
3858334.57,2.00E+03,1.2657787,0.046798806,1606.3952,230.82112,7183.6275,18360.891,1.0522855,0.20662899
4000751.473,2.01E+03,1.2649201,0.046695085,1622.6525,232.99338,7234.3431,18525.748,1.0540399,0.20646082
4147199.968,2.03E+03,1.2637141,0.046598504,1637.7779,235.06322,7278.0804,18670.654,1.0557026,0.20633888
4304239.013,2.05E+03,1.2629044,0.046512386,1652.7522,237.12135,7323.6595,18814.572,1.0575042,0.20625991
4472594.03,2.07E+03,1.2620364,0.046425605,1667.969,239.19795,7366.7288,18946.408,1.0593536,0.20622171
4648282.453,2.09E+03,1.2611737,0.046342545,1681.5055,241.12301,7412.2439,19085.479,1.0612212,0.20622064
4827932.111,2.11E+03,1.2601539,0.046264132,1697.9002,243.3153,7461.5776,19246.886,1.0630661,0.2062547
5006424.324,2.13E+03,1.2590418,0.046151376,1714.3497,245.51845,7506.3434,19393.393,1.0648915,0.20632187
5177598.008,2.15E+03,1.2583647,0.046055457,1730.0689,247.66274,7551.4237,19539.023,1.0668485,0.20642138
5338078.061,2.17E+03,1.2574705,0.045959045,1745.7965,249.80345,7593.5869,19674.135,1.068814,0.20655068
5486000.749,2.19E+03,1.2567017,0.045859208,1760.0623,251.82534,7643.5891,19830.378,1.0708956,0.20670947
5618186.349,2.22E+03,1.2556202,0.045746345,1777.2665,254.09995,7689.6429,19979.56,1.0729447,0.20689569
5731137.497,2.24E+03,1.2545959,0.045617056,1794.2649,256.37474,7735.507,20126.74,1.0749317,0.20710955
5824986.934,2.26E+03,1.2536914,0.045468708,1810.7677,258.60613,7781.2547,20274.992,1.0769343,0.20734952
5905169.469,2.28E+03,1.2527739,0.045246699,1827.085,260.72642,7819.1788,20408.811,1.0788814,0.20761848
5982333.041,2.31E+03,1.2521703,0.045080346,1840.9218,262.62529,7848.0165,20512.872,1.0808502,0.20793059
6069138.774,2.33E+03,1.2516901,0.044950478,1856.726,264.68753,7906.274,20702.137,1.0828148,0.20829747
6180738.102,2.35E+03,1.2510466,0.044829127,1876.3781,267.15481,7946.196,20843.29,1.0847562,0.20872769
6329703.58,2.37E+03,1.2507678,0.044761786,1892.5511,269.29921,7986.4164,2.10E+04,1.0867616,0.20922911
6517526.196,2.40E+03,1.2505381,0.044714499,1908.8027,271.4503,8027.3799,2.11E+04,1.0888383,0.20980837
6736752.922,2.42E+03,1.2504724,0.044677384,1921.7168,273.30685,8070.4072,2.13E+04,1.0910321,0.21047273
6980454.031,2.44E+03,1.2499026,0.044619316,1940.5049,275.66173,8113.3252,2.14E+04,1.0932304,0.2112587
7243152.339,2.46E+03,1.2494967,0.044558989,1958.3867,277.91399,8157.6478,2.15E+04,1.0954897,0.21220195
7521347.917,2.49E+03,1.2489658,0.044483369,1975.2214,280.07967,8200.9657,2.17E+04,1.0977703,0.21330258
7814008.612,2508.2093,1.2486365,0.04443357,1992.0599,282.25361,8245.0007,21835.928,1.1000784,0.21455331
8127007.147,2530.9495,1.2483475,0.044386934,2006.1349,284.18035,8277.3212,21943.962,1.1024481,0.21593291
8465141.141,2553.8001,1.2480045,0.044374471,2022.3015,286.29213,8333.39,22122.601,1.104845,0.21751039
8822634.637,2576.8023,1.2476108,0.044365177,2040.9231,288.6466,8377.9257,22267.93,1.1072827,0.21927314
9187128.938,2600.0138,1.2472188,0.044340487,2057.9697,290.87028,8423.1551,22414.458,1.1097467,0.22128414
9545330.33,2623.519,1.2468847,0.044316576,2074.8723,293.08382,8468.9372,22561.191,1.1122282,0.22382163
9894472.12,2647.4591,1.2464334,0.044288701,2090.631,295.20005,8503.3249,22673.816,1.1147077,0.22783701
10246234,2672.0971,1.2459577,0.044248318,2106.5137,297.33488,8560.8726,22857.86,1.1171755,0.23155488
10605183.38,2698.0748,1.2455841,0.04421753,2123.8614,299.60749,8606.6711,23006.85,1.119661,0.2353647
10967770.82,2728.8214,1.2453064,0.044187122,2142.2362,301.91899,8652.4928,23154.99,1.1221498,0.23995329
11344179.7,2790.6906,1.2449798,0.044161691,2158.9127,304.15608,8697.5766,23304.221,1.1246611,0.24465425
11759101.28,2834.0683,1.2448636,0.044165788,2173.4152,306.20238,8742.0343,23448.236,1.1272138,0.24965828
12223809.17,2864.5057,1.2449474,0.044186366,2187.8402,308.23126,8786.929,23586.557,1.1298281,0.25508405
12735323.68,2886.9404,1.2446201,0.044189336,2207.1163,310.68548,8835.3413,23746.469,1.132448,0.26090381
13279107.37,2904.8764,1.2442844,0.044189211,2226.4731,313.18923,8882.5075,23898.183,1.1350729,0.26707709
13850796.18,2920.9075,1.244005,0.044168275,2243.6246,315.48432,8929.192,24050.988,1.1377134,0.27357878
14447527.23,2937.4156,1.2439415,0.044162019,2260.2994,317.73557,8970.6446,24183.265,1.14039,0.28045997
15056753,2965.8302,1.2438955,0.044164705,2274.312,319.7543,9018.234,24336.252,1.1431223,0.28771197
15661546.78,3003.1969,1.2439394,0.044220688,2292.5895,322.24968,9071.1259,24504.697,1.1459203,0.29534
16250387.63,3028.0736,1.2438923,0.044260374,2310.2301,324.67496,9120.0225,24657.987,1.1487678,0.30342159
16816423.26,3045.3448,1.2438114,0.044279963,2327.7491,327.07478,9170.0749,24814.053,1.1516719,0.31188706
17361010.19,3057.3555,1.2436762,0.044277673,2343.7911,329.32793,9199.3436,24903.219,1.1546105,0.32069309
17884570.28,3066.5989,1.2434794,0.044268847,2360.3159,331.62929,9270.9833,25125.789,1.157583,0.32998161
18382251.23,3075.1165,1.2432912,0.044251688,2377.1622,333.93911,9325.438,25295.972,1.1605785,0.33965049
18850155.07,3084.2953,1.2428428,0.04420865,2397.3636,336.58465,9376.0767,25461.13,1.1635381,0.34970928
19289256.18,3095.177,1.242502,0.044151984,2415.386,339.03258,9428.0597,25627.275,1.1665012,0.36012352
19698031.01,3107.9752,1.2420497,0.044090584,2432.0547,341.36364,9480.019,25794.059,1.1694355,0.37180911
20070861.74,3136.0713,1.2419678,0.044029557,2446.6713,343.54645,9527.1088,25937.978,1.1723819,0.38408048
20414909.86,3186.2,1.24171,0.043973718,2460.8399,345.72449,9577.873,26103.662,1.1753113,0.39635552
20742447.58,3217.05294,1.2414352,0.04393834,2482.3447,348.58386,9633.1055,26287.361,1.1782159,0.40928312
21080553.72,3235.93507,1.2413979,0.04393525,2499.2887,350.99134,9681.4511,26448.385,1.1811578,0.42257304
21455501.62,3247.86699,1.2415606,0.043971354,2516.3059,353.35933,9717.0013,26566.626,1.1841778,0.43620458
21884545.48,3256.24188,1.2418164,0.044025369,2527.4466,355.16313,9754.2301,26683.039,1.1872568,0.45043398
22380354.13,3263.29542,1.2416477,0.044059235,2548.9238,357.85401,9829.2402,26924.771,1.1903318,0.46560936
22950690.23,3270.46268,1.2414491,0.044084394,2569.0389,360.389,9879.28,27088.02,1.1933955,0.48058408
23581417.19,3278.61607,1.2412447,0.044075552,2588.9732,362.88094,9929.7768,27252.658,1.1964514,0.49564708
24244496.31,3287.2723,1.2411438,0.044046893,2608.4939,365.35141,9981.6775,27417.848,1.1994938,0.51138578
24911259.43,3296.34,1.2410295,0.044002275,2625.9104,367.64258,10001.3642,27479.904,1.2025336,0.52722177
25551858.82,3306.50916,1.2410671,0.043997323,2641.8529,369.83955,10085.7454,27745.438,1.2055918,0.54342313
26137480.93,3318.15639,1.2408304,0.043979764,2664.371,372.5858,10139.1268,27919.227,1.2086044,0.56003117
26662539.48,3331.453002,1.2408412,0.043987542,2685.3258,375.1826,10190.0097,28088.062,1.2116645,0.5779624
27132879.62,3346.435671,1.2410829,0.044044066,2704.9943,377.67533,10242.1098,28254.459,1.2147827,0.59592164
27542764.45,3363.068053,1.2414089,0.044115711,2724.5884,380.18077,10260.1782,28304.065,1.2179571,0.61393714
27896110.03,3381.270456,1.241615,0.044167934,2739.4442,382.29004,10345.2571,28570.031,1.2211728,0.63295692
28195655.28,3400.953257,1.2414642,0.044181582,2764.1168,385.23037,10406.5704,28766.043,1.2243122,0.65211639
28442741.1,3421.942702,1.2412989,0.044133009,2786.1921,387.93635,10461.8308,28944.264,1.2274198,0.67201398
28645960.91,3442.597188,1.2414772,0.044131732,2807.5388,390.55273,10516.195,29119.101,1.2305501,0.69259875
