Annual Expected Loss,Property premium,hhldconsumprt,unemploymentrt,CentralG Consumption,LocalG Consumption,dtotalvalueadded,totactualprod,Pinvestcc,Landuse ratio
2004537.305,1920.2897,1.2687391,0.047535176,1505.349,217.04098,6876.8624,17331.949,1.0411483,0.345316
2112678.015,1927.2383,1.268924,0.047436265,1517.6556,218.83691,6914.2985,17454.855,1.0423802,0.344943
2230435.841,1935.2289,1.2685817,0.047329722,1533.8821,221.158,6964.7991,17638.037,1.0435679,0.34462
2360011.169,1944.607,1.2685855,0.047216472,1550.1001,223.41111,7008.7647,17791.447,1.0449832,0.344336
2502001.125,1955.5035,1.2681028,0.047090974,1564.955,225.43108,7052.4005,17944.379,1.0464363,0.344085
2655574.92,1967.9141,1.2677121,0.04701194,1580.1812,227.60453,7102.1501,18097.749,1.0481493,0.343862
2819796.724,1981.7517,1.266766,0.046895306,1594.9435,229.9069,7140.851,18222.935,1.0498578,0.343663
2990434.203,1996.8882,1.2658919,0.046796754,1606.2864,231.77075,7182.3509,18349.869,1.0515167,0.343483
3165111.942,2013.1751,1.2647957,0.046680226,1624.439,234.19313,7243.0897,18547.303,1.0532294,0.343322
3349147.584,2030.4632,1.2635199,0.046572006,1639.3305,236.19848,7288.7295,18693.935,1.0548534,0.343175
3546517.231,2048.6101,1.262637,0.046462566,1654.5917,238.08939,7335.3339,18839.255,1.0565841,0.343041
3756382.133,2067.4804,1.2616284,0.046345242,1668.7641,240.11391,7376.3777,18968.808,1.0583362,0.342919
3974230.817,2086.9622,1.2606951,0.046235448,1682.1813,242.2892,7427.4075,19127.202,1.0600866,0.342806
4196814.052,2106.9503,1.259551,0.046132745,1700.0199,244.77793,7471.8311,19274.931,1.0618057,0.342703
4420704.873,2127.3614,1.2586657,0.046035508,1715.6674,247.46496,7515.8802,19419.478,1.0635347,0.342607
4643564.735,2148.122,1.2578037,0.045919565,1731.3283,249.58398,7560.7993,19565.573,1.0653605,0.342518
4864254.109,2169.1716,1.2568636,0.045805808,1746.6041,251.47346,7605.2334,19709.388,1.067194,0.342436
5084392.845,2190.4606,1.2561133,0.045705125,1760.2936,253.22609,7651.6395,19853.898,1.0691344,0.342359
5304800.005,2211.9483,1.2550456,0.045590365,1777.9674,255.71107,7696.7214,20001.142,1.071039,0.342287
5524518.318,2233.601,1.254028,0.045470793,1795.0565,258.33203,7741.0641,20146.308,1.0728947,0.34222
5739314.398,2255.3925,1.2532961,0.045356446,1811.5384,260.57281,7786.1876,20290.973,1.0747923,0.342158
5950885.475,2277.3028,1.2523699,0.04516064,1827.1917,262.6654,7824.2135,20425.736,1.076645,0.3421
6163908.256,2299.3146,1.2520851,0.045038161,1839.113,264.53985,7860.9395,20545.312,1.0785759,0.342054
6379129.003,2321.4151,1.2514995,0.044928644,1856.7551,266.96745,7910.4026,20710.527,1.080492,0.342021
6593736.85,2343.5935,1.2509248,0.044816402,1875.0061,269.29182,7952.8024,20851.598,1.0824103,0.342004
6805860.037,2365.8433,1.2503643,0.044717154,1891.1755,271.57694,7994.254,20993.436,1.084343,0.342001
7017572.88,2388.1578,1.2498101,0.044626202,1906.8072,274.02102,8036.1436,21135.382,1.0863055,0.342011
7230129.449,2410.5321,1.249643,0.044552539,1919.8407,276.13382,8067.8539,21239.593,1.0883699,0.342034
7445597.18,2432.9629,1.2491288,0.044475442,1936.6868,278.68137,8121.8902,21418.156,1.0904529,0.342068
7669773.431,2455.4478,1.248672,0.044411825,1953.8118,281.3901,8165.1592,21561.196,1.0926085,0.342111
7905230.509,2477.985,1.248159,0.044342936,1970.2779,283.80535,8208.6633,21704.951,1.0947954,0.342164
8146522.264,2500.5749,1.2477142,0.044282895,1986.2273,286.24201,8252.7302,21848.45,1.0970069,0.342224
8387382.443,2523.2185,1.2474266,0.04422926,1999.7672,288.47022,8274.5904,21920.491,1.0992795,0.342291
8628590.996,2545.9162,1.2469623,0.04419552,2016.118,290.67655,8340.4071,22130.986,1.1015611,0.342365
8881344.384,2568.6685,1.246451,0.044157705,2033.2248,292.94092,8385.7819,22280.4,1.1038705,0.342445
9150699.054,2591.4777,1.2460817,0.044126666,2050.0638,295.13705,8430.401,22424.47,1.1062046,0.34253
9448358.6,2614.3464,1.2455627,0.04408284,2066.1269,297.17847,8474.5876,22570.14,1.108544,0.34262
9791562.509,2637.2797,1.2452544,0.044067512,2080.2922,299.04919,8482.1978,22602.661,1.1109082,0.342715
10192405.41,2660.2835,1.2450211,0.044060833,2094.6697,301.1918,8564.809,22857.843,1.1133028,0.342815
10659993.85,2683.3665,1.2444669,0.044036551,2114.1998,303.7383,8609.1909,23004.929,1.115698,0.342918
11187836.64,2706.5396,1.2441408,0.044019987,2131.2284,305.84347,8654.7259,23151.12,1.1181233,0.343026
11755147.43,2729.8184,1.2438153,0.044013908,2147.9189,308.25324,8700.9953,23298.399,1.1205845,0.343137
12335143.12,2753.2157,1.2435206,0.043999778,2162.4827,310.67709,8732.1772,23394.031,1.1230716,0.343253
12902043.38,2776.7443,1.2434394,0.044002731,2176.435,312.88829,8786.395,23562.162,1.1255992,0.343372
13451449.28,2800.414,1.2429738,0.043988377,2197.4021,315.53898,8840.9485,23743.487,1.1281166,0.343495
