Annual Expected Loss,Property premium,hhldconsumprt,unemploymentrt,CentralG Consumption,LocalG Consumption,dtotalvalueadded,totactualprod,Pinvestcc,Landuse ratio
597089.2362,1.92E+03,1.2685388,0.04753041,1506.5692,217.00568,6887.9529,17351.74,1.0404388,0.345316
597089.2362,1.92E+03,1.2685195,0.047426023,1521.064,219.08799,6919.7429,17469.969,1.041619,0.344943
598349.5093,1.93E+03,1.268215,0.047314978,1535.8088,221.20056,6977.6405,17660.504,1.0427727,0.34462
600430.6708,1.94E+03,1.2682388,0.04720193,1551.766,223.42596,7022.6781,17815.79,1.0441533,0.344336
606377.8786,1.95E+03,1.2677568,0.047077494,1566.5723,225.53889,7067.2426,17970.091,1.0455687,0.344085
617849.2925,1.96E+03,1.2674719,0.04700548,1582.0823,227.74477,7118.1136,18124.597,1.0472508,0.343862
635245.3877,1.97E+03,1.2666086,0.046892414,1595.9872,229.78293,7167.2269,18278.352,1.0489347,0.343663
660615.6005,1.99E+03,1.2654301,0.046780274,1610.2696,231.83159,7214.5461,18429.83,1.0505302,0.343483
695184.4958,2.00E+03,1.2644197,0.046665565,1626.8067,234.09747,7261.8072,18580.271,1.0522062,0.343322
739573.3525,2.02E+03,1.2631177,0.046557758,1641.6329,236.19707,7308.2198,18728.728,1.0537836,0.343175
797188.8331,2.03E+03,1.2622056,0.046448565,1656.9159,238.35173,7355.4806,18875.946,1.055463,0.343041
869669.9456,2.05E+03,1.2611477,0.046330537,1671.7204,240.46421,7392.7167,18993.009,1.0571591,0.342919
954977.9176,2.07E+03,1.2601029,0.046216087,1687.4864,242.66629,7449.4527,19170.402,1.0588393,0.342806
1049084.619,2.08E+03,1.2591262,0.046116891,1702.8264,244.84168,7495.1259,19317.669,1.060516,0.342703
1147537.564,2.10E+03,1.2581519,0.046016888,1718.5886,247.05934,7540.5108,19464.568,1.062186,0.342607
1245813.383,2.12E+03,1.2573745,0.045908261,1734.4829,249.30019,7586.5644,19612.217,1.0639596,0.342518
1340211.379,2.14E+03,1.256342,0.045790609,1750.1831,251.51621,7617.7611,19720.064,1.0657292,0.342436
1430663.049,2.16E+03,1.2555879,0.04569165,1765.2626,253.69532,7679.2305,19907.855,1.0676037,0.342359
1518442.749,2.18E+03,1.254603,0.045579973,1781.9036,256.0077,7725.6203,20055.968,1.0694542,0.342287
1605653.229,2.20E+03,1.2535839,0.045460437,1798.8638,258.36298,7771.4427,20204.111,1.0712515,0.34222
1692565.692,2.22E+03,1.2527118,0.045339442,1815.3098,260.67169,7817.4927,20352.703,1.0730796,0.342158
1777946.58,2.24E+03,1.2518926,0.045153224,1831.2839,262.89906,7858.9369,20497.78,1.0748716,0.3421
1859928.984,2.26E+03,1.2513354,0.045020827,1845.5883,264.99503,7901.2182,20638.141,1.0767085,0.342054
1940053.123,2.28E+03,1.2507365,0.044905224,1862.7947,267.34652,7944.4353,20782.32,1.0785434,0.342021
2022624.322,2.30E+03,1.2501889,0.044793402,1879.5368,269.68048,7987.5537,20925.368,1.0803854,0.342004
2111247.871,2.32E+03,1.2497046,0.044702997,1895.6191,271.95925,8030.4824,2.11E+04,1.0822437,0.342001
2208450.3,2.34E+03,1.249266,0.044619393,1911.6332,274.23014,8073.7365,2.12E+04,1.0841333,0.342011
2312723.217,2.36E+03,1.2490091,0.044543813,1926.7668,276.42562,8117.5908,2.14E+04,1.0861137,0.342034
2421176.941,2.38E+03,1.2485094,0.044468538,1943.2212,278.71993,8161.4229,2.15E+04,1.0881165,0.342068
2533689.347,2.40E+03,1.2480411,0.044402411,1959.6924,281.04232,8205.7315,2.16E+04,1.0901905,0.342111
2652728.16,2.43E+03,1.2477001,0.044348588,1975.9372,283.33615,8250.6352,2.18E+04,1.0923056,0.342164
2785665.749,2446.2424,1.2470648,0.044278446,1991.7166,285.57649,8295.141,21941.159,1.0944236,0.342224
2936156.126,2466.9711,1.2466463,0.044224403,2007.9219,287.86236,8340.703,22088.004,1.096589,0.342291
3101325.431,2487.7325,1.246194,0.044190111,2023.1864,290.05322,8386.3325,22235.106,1.0987716,0.342365
3274568.014,2508.5275,1.2457504,0.04415383,2039.8239,292.38235,8431.9205,22382.965,1.1009872,0.342445
3447928.208,2529.3573,1.2452683,0.044114101,2056.2225,294.68595,8477.6319,22531.799,1.1032148,0.34253
3614066.753,2550.2232,1.2448395,0.044081097,2072.6421,296.99002,8523.739,22680.672,1.1054567,0.34262
3769271.527,2571.1257,1.2444318,0.044063318,2088.0645,299.20886,8560.4546,22800.797,1.1077111,0.342715
3912664.942,2592.0667,1.244046,0.044047105,2104.2879,301.49007,8617.0101,22979.903,1.1099847,0.342815
4043566.089,2613.0427,1.2436755,0.044031969,2121.5598,303.87758,8663.8806,23130.273,1.1122896,0.342918
4166328.234,2634.0547,1.243245,0.044010282,2138.6587,306.25542,8710.5776,23281.984,1.1146064,0.343026
4286081.203,2655.1007,1.242957,0.044009104,2155.6882,308.6336,8758.8079,23433.708,1.1169643,0.343137
4403179.827,2676.1812,1.2426702,0.044001231,2171.9097,310.94088,8800.9774,23569.496,1.1193467,0.343253
4518786.179,2697.2953,1.2423954,0.043993307,2187.8862,313.2183,8851.0772,23725.145,1.1217489,0.343372
4634439.121,2718.4404,1.2420274,0.043981892,2206.7246,315.75803,8903.5556,23893.612,1.124164,0.343495
4752312.488,2739.6157,1.2417214,0.043979665,2224.0843,318.17756,8952.9587,24049.019,1.1266014,0.343621
4870707.708,2760.8217,1.2414494,0.043970144,2241.4706,320.60041,9002.6389,24205.297,1.129068,0.343752
4985204.884,2782.0574,1.2411818,0.043952918,2258.9919,323.03629,9040.8046,24326.702,1.1315559,0.343886
5095022.941,2803.3198,1.2409705,0.043936249,2275.8675,325.42303,9103.2821,24520.576,1.1340708,0.344024
5202250.658,2824.6089,1.2406047,0.043922405,2293.651,327.8867,9154.5625,24680.732,1.1365886,0.344167
5314012.91,2845.9224,1.2403913,0.043906383,2311.9114,330.40603,9206.3658,24840.901,1.1391339,0.344313
5431369.004,2867.2612,1.2400911,0.043872529,2329.7915,332.89182,9258.1138,25003.447,1.1417038,0.344463
5550529.715,2888.6218,1.2397764,0.043837517,2347.5576,335.36693,9310.2224,25166.678,1.1442895,0.344618
5665864.702,2910.0043,1.2395881,0.043818331,2363.2983,337.65972,9355.2854,25301.034,1.1469126,0.344777
5770725.796,2931.4087,1.2392147,0.043799573,2383.2258,340.34306,9417.0908,25495.42,1.1495336,0.344941
5859284.942,2952.8316,1.2389901,0.043786888,2401.1254,342.83684,9470.9761,25660.537,1.1521778,0.34511
5928402.513,2974.269,1.2387241,0.043771786,2419.5986,345.38571,9524.5732,25826.843,1.154831,0.345284
5977519.913,2995.7188,1.2384404,0.043772024,2437.6792,347.89953,9578.7333,25993.945,1.1574951,0.345463
6011932.274,3017.1766,1.238136,0.043761409,2454.3829,350.28799,9632.7388,26159.835,1.1601732,0.345647
6042016.743,3038.6397,1.2378208,0.043752503,2473.0226,352.8393,9687.779,26329.982,1.162849,0.345837
