Annual Expected Loss,Property premium,hhldconsumprt,unemploymentrt,CentralG Consumption,LocalG Consumption,dtotalvalueadded,totactualprod,Pinvestcc,Landuse ratio
2184214.166,1.92E+03,1.2688767,0.047538679,1504.8046,216.77215,6872.2681,17317.901,1.0415343,0.345316
2318173.23,1.93E+03,1.2688824,0.047432629,1517.8158,218.72377,6897.8715,17415.68,1.0427668,0.344943
2458307.387,1.93E+03,1.2684708,0.047320256,1534.1052,220.96377,6959.4937,17624.18,1.043954,0.34462
2600244.518,1.94E+03,1.2685623,0.047209183,1549.0317,223.09286,7003.9848,17777.467,1.0453841,0.344336
2738728.486,1.95E+03,1.2681817,0.04709237,1564.2353,225.24531,7047.7554,17929.767,1.0468529,0.344085
2869663.6,1.97E+03,1.2678706,0.04701507,1579.6432,227.43864,7097.6231,18083.12,1.0485864,0.343862
2992510.531,1.98E+03,1.2670178,0.046899931,1593.0561,229.4341,7136.5305,18205.663,1.0503275,0.343663
3108212.914,2.00E+03,1.265937,0.046796108,1606.0599,231.34961,7192.3341,18380.9,1.0519901,0.343483
3218009.429,2.01E+03,1.2647787,0.046673944,1623.7963,233.7243,7239.16,18533.832,1.0537105,0.343322
3327958.627,2.03E+03,1.2635577,0.046570319,1638.7433,235.83445,7284.7099,18680.097,1.0553465,0.343175
3452612.785,2.05E+03,1.2626736,0.04645968,1653.9271,237.97526,7330.7875,18825.191,1.0570868,0.343041
3606769.801,2.07E+03,1.2616633,0.046341268,1668.6399,240.06654,7367.551,18937.653,1.0588463,0.342919
3796308.389,2.08E+03,1.2606516,0.046226895,1682.9746,242.13975,7422.5729,19114.586,1.0605987,0.342806
4017359.772,2.10E+03,1.2596949,0.04613708,1699.0354,244.3654,7467.1674,19258.961,1.0623428,0.342703
4259827.615,2.13E+03,1.2586068,0.046023955,1714.9104,246.5935,7511.2159,19404.356,1.0640699,0.342607
4513542.797,2.15E+03,1.2578065,0.045913532,1730.5639,248.80617,7556.1029,19549.641,1.0659066,0.342518
4769498.854,2.17E+03,1.2568109,0.045796304,1746.0106,250.98966,7582.424,19640.56,1.0677409,0.342436
5019652.761,2.19E+03,1.2561762,0.04570021,1759.737,253.04524,7638.996,19814.31,1.0696958,0.342359
5262588.217,2.21E+03,1.2550677,0.045583815,1778.1364,255.5087,7691.5103,19984.583,1.071607,0.342287
5499303.726,2.23E+03,1.2540448,0.045462779,1794.2677,257.77373,7736.1211,20129.664,1.073474,0.34222
5728131.286,2.25E+03,1.2532413,0.045346711,1810.6344,260.0661,7781.073,20274.304,1.0753762,0.342158
5943966.014,2.27E+03,1.252398,0.045155591,1826.4523,262.27484,7821.7968,20416.661,1.0772387,0.3421
6141449.523,2.30E+03,1.2519206,0.045024664,1839.6899,264.26903,7862.3803,20550.642,1.0791599,0.342054
6318797.599,2.32E+03,1.2512575,0.04490526,1857.1303,266.63722,7905.589,20695.623,1.0810698,0.342021
6475677.422,2.34E+03,1.2507416,0.04479581,1874.3198,269.00379,7947.9185,20835.845,1.0829891,0.342004
6613004.652,2.36E+03,1.2503314,0.044707694,1890.397,271.27787,7989.9166,2.10E+04,1.0849331,0.342001
6733008.079,2.39E+03,1.2498668,0.044620553,1906.24,273.52638,8032.2365,2.11E+04,1.0869063,0.342011
6838293.432,2.41E+03,1.2495566,0.044540741,1921.475,275.71844,8071.5421,2.12E+04,1.0889664,0.342034
6931805.284,2.43E+03,1.2492248,0.044474395,1935.6113,277.79701,8119.07,2.14E+04,1.0910723,0.342068
7016134.14,2.45E+03,1.2487084,0.04440786,1953.9556,280.28892,8162.4184,2.15E+04,1.0932288,0.342111
7094463.575,2.48E+03,1.2483582,0.044347632,1970.213,282.58387,8206.7869,2.17E+04,1.0954338,0.342164
7167352.528,2497.9311,1.2478071,0.044281664,1986.0004,284.82364,8250.8168,21832.628,1.0976494,0.342224
7233892.151,2520.3848,1.2474017,0.044224516,2000.6308,286.94714,8258.3629,21865.853,1.0999158,0.342291
7299226.724,2542.8424,1.2469764,0.044190049,2015.8795,289.14936,8340.4082,22121.999,1.1021999,0.342365
7376625.99,2565.2985,1.2464107,0.04415003,2033.6674,291.56927,8384.9776,22267.865,1.1045032,0.342445
7472578.932,2587.7515,1.2460273,0.044115303,2050.063,293.8707,8430.1507,22413.339,1.1068309,0.34253
7591779.31,2610.1994,1.2455436,0.044075057,2066.1864,296.13921,8474.9239,22559.933,1.1091684,0.34262
7740352.574,2632.6441,1.2451526,0.044055713,2080.2459,298.22755,8493.7589,22627.499,1.1115236,0.342715
7919335.508,2655.0866,1.2447722,0.044039109,2096.6955,300.53297,8565.4931,22850.836,1.113894,0.342815
8128827.578,2677.5319,1.2444711,0.044028873,2113.7146,302.87421,8611.8779,22999.488,1.1163035,0.342918
8364964.816,2699.9841,1.2440727,0.044008335,2131.6459,305.32897,8657.1298,23147.652,1.1187219,0.343026
8624827.226,2722.4493,1.2437785,0.044002214,2148.4361,307.67889,8703.9998,23296.49,1.1211855,0.343137
8902066.877,2744.935,1.2435532,0.04399529,2163.7704,309.89821,8737.0743,23401.835,1.1236804,0.343253
9190630.605,2767.4466,1.2432803,0.043988647,2178.7604,312.07056,8797.5701,23591.705,1.1261958,0.343372
9485138.723,2789.9912,1.2430022,0.043986691,2197.3118,314.56897,8845.8021,23744.601,1.1287285,0.343495
9778613.338,2812.5748,1.242649,0.043976901,2216.2092,317.13635,8893.2856,23897.189,1.1312713,0.343621
10067002.37,2835.2026,1.2424734,0.043969477,2233.595,319.55486,8941.7344,24049.517,1.1338591,0.343752
10352806.29,2857.8774,1.2421559,0.04394656,2250.6301,321.93502,8977.2251,24163.251,1.1364636,0.343886
10643118.51,2880.6041,1.2420347,0.043933202,2264.831,324.06251,9021.475,24300.129,1.1391057,0.344024
10947059.4,2903.3841,1.2417571,0.043930774,2283.1617,326.55468,9088.7799,24511.582,1.1417502,0.344167
11272441.85,2926.2214,1.2413109,0.043892876,2302.8798,329.21133,9137.6597,24669.662,1.1443983,0.344313
11624382.57,2949.1187,1.2410805,0.043863666,2320.4037,331.65626,9188.0836,24827.071,1.147088,0.344463
11999456.65,2972.0814,1.2409587,0.043835294,2337.361,334.0554,9231.5628,24958.378,1.1498108,0.344618
12391254.21,2995.1153,1.2407369,0.043814012,2352.5284,336.28416,9272.2783,25084.318,1.1525636,0.344777
12796013.83,3018.2266,1.2403653,0.043800048,2371.8308,338.88335,9341.9506,25303.837,1.1553161,0.344941
13210163.39,3041.42,1.2399713,0.043774343,2390.75,341.46815,9393.157,25465.401,1.1580725,0.34511
13626235.51,3064.7018,1.2397119,0.043758305,2408.7164,343.96056,9445.091,25626.514,1.1608502,0.345284
14040174.1,3088.0773,1.239445,0.043756324,2426.559,346.4428,9497.3553,25788.255,1.1636409,0.345463
14462389.98,3111.5515,1.2395241,0.043758181,2437.1182,348.26736,9521.0507,25851.359,1.1664903,0.345647
14912009.57,3135.1289,1.2391534,0.043753111,2459.0584,351.09715,9602.5435,26110.086,1.1693076,0.345837
15408262.18,3158.815,1.2388882,0.043745512,2479.4287,353.79945,9654.4766,26272.164,1.1721311,0.346033
15957416.76,3182.6177,1.2386183,0.043738441,2498.1053,356.36321,9706.6511,26435.569,1.1749646,0.346237
16565498.86,3206.5462,1.2384707,0.043735546,2516.2502,358.86908,9745.6838,26557.483,1.1778203,0.346453
17246064.75,3230.6118,1.2383765,0.043730905,2531.3873,361.08953,9771.6822,26627.468,1.1806998,0.346686
18019578.55,3254.8271,1.2381906,0.043732633,2548.2185,363.45585,9862.9555,26922.384,1.183586,0.34693945
18907351.06,3279.2109,1.2377559,0.043733962,2568.4556,366.14467,9914.5498,27086.599,1.1864541,0.34721992
19907517.87,3303.7832,1.237532,0.043733936,2587.4779,368.73633,9966.6151,27250.786,1.1893409,0.34754799
20990445.87,3328.5704,1.2374093,0.043740553,2605.7092,371.251,10019.2791,27414.451,1.1922464,0.34795885
22119940.03,3353.5979,1.2373874,0.04374817,2620.7989,373.48002,10048.2603,27500.263,1.1951805,0.34850303
23264170.54,3378.8894,1.237369,0.043779454,2637.1487,375.83199,10124.3583,27736.233,1.1981315,0.34923516
24405865.39,3404.4681,1.2371262,0.043797267,2659.621,378.72591,10178.2303,27908.948,1.2010731,0.35021979
25531271.09,3430.3545,1.2370082,0.043812465,2678.4823,381.31283,10231.4456,28076.335,1.2040357,0.35151432
26621018.38,3456.5605,1.2368703,0.043827687,2696.8749,383.85604,10285.0496,28244.528,1.2070116,0.35317529
27656044.53,3482.7147,1.2370724,0.043876538,2714.2485,386.31889,10323.2073,28358.353,1.2100336,0.35524769
28644025.03,3507.7528,1.2371549,0.043914084,2728.3944,388.48404,10393.4012,28576.717,1.2130868,0.35776411
29597085.94,3532.2236,1.2370316,0.043951313,2750.5524,391.36336,10447.9043,28749.154,1.2161304,0.36074396
30518746.5,3556.6011,1.2370086,0.043981252,2771.0652,394.12973,10502.3863,28920.587,1.2191939,0.3641895
31405279.3,3581.1901,1.2371655,0.044034264,2790.4315,396.79726,10557.6466,29091.736,1.2222986,0.36809122
32254700.48,3605.9363,1.2372019,0.044071416,2809.216,399.40372,10599.3549,29222.03,1.2254272,0.37242485
33072547.35,3629.7008,1.2372236,0.044108813,2825.4078,401.77748,10668.8341,29439.259,1.2285811,0.37716621
33845332.62,3652.4869,1.2372175,0.044149547,2845.5131,404.50544,10724.9948,29614.12,1.2317436,0.38231153
34552672.15,3673.6318,1.2374449,0.044211415,2865.5225,407.2462,10781.895,29788.359,1.234943,0.38787279
35213828.82,3694.1288,1.2375099,0.044246158,2885.5007,409.98768,10837.708,29965.993,1.2381626,0.39386639
35878138.83,3714.71623,1.2376657,0.044287402,2904.2359,412.61247,10892.633,30136.074,1.2414116,0.40031044
36589363.51,3735.8453,1.2379963,0.044337596,2917.8063,414.76129,10935.3137,30270.278,1.2447066,0.40721555
